distribution,method,max_bits,n,compress_time_avg,decompress_time_avg,get_time_avg
uniform_small,method1,20,1000,0.0008772045714847211,0.0007788585686025076,0.0018361541463361522
uniform_small,method2,20,1000,0.0028435027156124954,0.0018237320016071732,0.002318526857249838
uniform_small,method1,4,10000,0.011811297287100129,0.005143801569439737,0.0015703384248938943
uniform_small,method2,4,10000,0.023550379000620784,0.0047217412876696995,0.0014496827165463141
uniform_small,method1,6,10000,0.011807166854850948,0.00591232356756726,0.0016281970019917935
uniform_small,method2,6,10000,0.03199089271116203,0.005779914713847185,0.001517179428317052
uniform_small,method1,8,10000,0.012991373285850776,0.006737985573376396,0.0017383067170158029
uniform_small,method2,8,10000,0.04150785785999948,0.006606903712963685,0.0014815204319477613
uniform_small,method1,10,10000,0.01422073771495239,0.007493677143689378,0.0016021959995019383
uniform_small,method2,10,10000,0.057061424285555926,0.008451009998680092,0.0015059352860719497
uniform_small,method1,12,10000,0.015347833994642965,0.008233743715598913,0.0016159444265732808
uniform_small,method2,12,10000,0.06083444285572374,0.00934235257279527,0.0016408484287759556
uniform_small,method1,14,10000,0.01704236028516399,0.009113233573901067,0.0016380147135350853
uniform_small,method2,14,10000,0.056754142856724296,0.008505585426714138,0.0014966158591310627
uniform_small,method1,16,10000,0.018994769428640472,0.00999839028684489,0.0016710295707785658
uniform_small,method2,16,10000,0.10302505756720036,0.015719269283830987,0.0015149844278182303
uniform_small,method1,18,10000,0.021034760284237564,0.011094477572312047,0.0017044235719367862
uniform_small,method2,18,10000,0.1030914762876429,0.015716804852542867,0.001538810143496708
uniform_small,method1,20,10000,0.023542865713742294,0.012311120424003872,0.0017275510014899606
uniform_small,method2,20,10000,0.10295233242920533,0.015918485855633793,0.0015015552863977583
skewed,method1,4,100,6.992114192274e-05,5.611228698398918e-05,0.0017762501437183736
skewed,method2,4,100,0.00010047157203579056,8.063671495100217e-05,0.0022647189970094977
skewed,method1,6,100,8.138500353587525e-05,5.957471772230097e-05,0.001842549573796402
skewed,method2,6,100,8.81098593319101e-05,8.166428389293807e-05,0.0019256202857442467
skewed,method1,8,100,0.00010188842757738062,8.113557123579085e-05,0.0022173074290289412
